24213,7,22.99,2,7.2
24122,3,27.68,10,8.3
24120,18,36.28,4,9.4
24063,7,20.0,2,6.2
24063,10,38.88,2,9.5
24038,13,26.71,2,7.3
24003,7,31.5,2,9.8
23979,4,45.36,5,11.0
23954,20,17.01,2,4.4
23919,4,19.44,3,6.5
23919,4,42.0,3,7.8
23918,4,15.18,2,4.5
23917,15,17.01,2,4.2
23916,1,16.61,3,5.2
23913,6,14.86,2,4.2
23907,9,20.0,2,5.0
23905,12,16.56,2,3.7
23905,4,30.78,2,6.4
23903,8,18.63,2,5.0
23891,8,19.44,2,5.5
23889,13,11.34,2,3.7
23879,10,21.53,2,4.5
23878,4,18.44,2,4.3
23877,5,21.07,3,4.0
23870,5,17.5,2,4.7
23863,6,17.01,2,4.3
23859,16,12.21,2,4.6
23858,14,35.64,2,7.3
23856,4,20.16,3,5.0
23847,3,18.01,2,4.5
23841,4,13.22,2,3.9
23841,9,38.0,4,9.0
23840,5,17.61,3,4.0
23834,13,20.0,2,4.3
23834,11,17.7,2,3.8
23819,14,17.42,3,4.5
23817,8,21.87,2,5.6
23816,7,34.7,2,7.3
23815,10,12.0,2,3.9
23811,10,19.25,4,4.5
23799,8,36.45,2,7.0
23792,7,19.44,2,4.5
23790,8,51.93,2,7.56
23773,11,13.77,2,3.0
23724,15,33.21,2,5.8
23720,5,31.59,2,6.7
23705,5,32.4,4,5.8
23699,7,30.76,3,6.0
23683,11,38.88,4,7.0
23676,39,21.47,2,3.9
23670,29,51.31,2,7.2
23653,11,24.3,2,4.5
23651,6,36.86,3,7.45
23639,10,22.68,2,4.6
23595,14,24.0,2,6.0
23592,8,16.77,2,4.0
23584,1,19.85,2,4.5
23521,8,31.59,2,5.0
23475,6,18.63,2,4.1
23889,13,14.0,2,3.8
23790,8,21.47,2,4.3
24038,9,28.56,2,7.5
24037,10,19.85,2,5.5
24035,3,24.42,2,5.5
24034,12,20.65,2,6.1
24025,2,18.47,4,6.2
24010,13,39.28,3,9.0
24001,15,23.5,5,6.3
23993,3,29.78,4,7.5
23991,13,24.3,2,6.8
23973,2,20.0,2,5.5
23967,14,65.0,2,12.9
23957,2,49.02,4,12.0
23954,15,46.17,2,8.8
23943,10,21.87,3,6.3
23937,8,21.06,2,5.4
23930,3,19.85,4,6.1
23920,5,34.46,3,8.5
23918,12,17.21,2,4.2
23914,8,17.82,2,4.5
23914,10,17.63,3,6.8
23905,8,21.53,2,5.0
23897,10,17.01,2,5.4
23896,3,19.85,3,4.0
23895,3,16.92,5,4.5
23895,5,18.63,2,5.5
23889,2,18.6,3,5.5
23886,3,15.8,2,4.5
23886,8,14.58,2,5.0
23880,20,17.63,2,4.3
23873,3,40.91,5,9.0
23871,6,27.54,2,5.2
23871,8,16.51,2,4.0
23870,11,48.6,3,7.8
23869,2,35.0,2,6.8
23850,7,15.0,2,4.4
23847,3,19.44,3,6.5
23847,7,18.0,3,5.5
23843,4,19.44,3,4.5
23839,4,34.02,2,7.0
23835,10,24.49,4,6.6
23835,4,22.68,3,5.3
23835,5,17.01,2,4.5
23826,9,49.96,6,10.35
23822,8,19.04,2,4.0
23821,1,38.0,3,8.6
23818,3,30.0,3,8.0
23810,15,22.49,2,6.0
23803,1,59.39,2,13.0
23796,8,24.3,3,6.0
23779,5,21.06,2,5.0
23778,8,15.8,2,2.5
23773,4,26.6,2,5.5
23771,1,23.49,2,5.0
23764,10,25.11,4,5.0
23763,6,36.05,2,7.0
23762,4,31.59,3,7.5
23761,8,31.59,2,6.0
23761,10,37.26,2,5.6
23753,5,18.5,2,4.0
23753,8,30.38,2,7.0
23746,5,49.0,3,7.5
23701,13,14.58,2,2.9
23701,19,34.85,2,6.6
23699,4,21.06,2,4.8
23697,13,29.16,2,6.5
23697,5,17.62,2,3.0
23677,3,37.0,2,6.0
23672,4,35.24,2,6.1
23668,5,23.01,2,5.2
23619,20,58.74,5,6.5
23957,2,48.6,4,11.9
23979,3,57.89,11,13.7
23927,4,24.1,3,6.5
23926,9,19.17,4,6.5
23919,9,44.55,3,9.5
23914,9,19.44,2,5.0
23907,14,37.04,6,8.8
23902,4,16.2,2,4.5
23892,5,45.0,2,8.0
23883,5,16.07,2,3.8
23873,11,38.88,2,8.0
23872,20,17.82,3,3.5
23869,1,51.65,3,11.5
23865,4,18.0,6,6.0
23862,15,19.85,3,4.0
23860,2,60.35,4,7.6
23849,8,15.39,2,3.5
23846,14,17.95,2,4.0
23825,7,24.84,2,4.5
23812,8,26.9,4,6.0
23800,8,30.0,2,6.0
23763,5,34.02,2,7.9
23739,10,30.53,3,6.9
23703,9,20.65,2,3.9
23916,1,16.61,3,5.5
23865,4,16.22,6,6.0
24217,15,24.64,3,6.9
24129,10,43.89,2,11.0
24035,6,19.62,2,7.1
23972,11,18.0,2,5.0
23956,1,20.67,11,6.0
23931,15,17.0,3,4.5
23931,1,38.88,2,6.6
23930,19,40.82,2,11.0
23930,11,21.0,2,4.2
23929,16,21.26,3,5.0
23926,22,43.74,2,8.3
23926,3,21.45,3,5.2
23923,17,19.4,3,5.5
23919,5,20.12,2,5.7
23919,16,16.69,2,3.9
23918,4,24.15,4,7.0
23917,5,15.39,2,3.8
23907,8,17.01,2,4.0
23904,13,17.61,4,5.2
23901,20,25.38,3,6.1
23896,13,42.0,2,10.0
23895,5,27.94,2,6.5
23892,1,19.04,3,4.9
23890,5,17.03,2,4.0
23884,1,15.39,2,3.5
23883,7,16.0,3,4.1
23880,1,17.42,3,4.7
23879,11,17.82,2,5.0
23876,3,25.52,2,5.5
23876,12,17.01,3,5.0
23875,3,33.71,4,9.5
23872,20,19.0,2,4.5
23871,5,20.52,3,5.2
23871,10,19.85,3,4.8
23869,9,19.44,2,4.5
23869,8,17.0,3,6.0
23865,8,45.0,3,8.8
23865,10,14.58,2,4.0
23861,5,48.95,6,10.0
23860,7,19.05,3,6.0
23857,3,48.6,2,8.7
23855,9,19.87,2,5.1
23849,1,21.45,3,5.0
23849,17,43.34,4,8.5
23848,2,20.0,2,4.5
23846,6,37.0,2,6.5
23845,6,38.07,4,7.0
23845,13,38.88,2,6.0
23840,7,17.01,2,4.4
23837,3,19.0,4,7.2
23837,3,52.1,5,10.5
23836,3,46.2,5,10.5
23835,15,17.01,2,6.0
23835,5,21.06,2,5.0
23831,6,23.49,2,5.0
23817,3,17.01,3,3.9
23816,10,22.3,2,4.5
23813,11,25.0,2,5.5
23809,8,20.0,2,4.7
23799,2,19.06,2,4.6
23797,17,36.86,2,6.5
23786,7,32.4,2,6.6
23761,7,16.5,2,3.8
23755,15,21.87,2,4.5
23745,8,19.44,2,5.5
23743,14,25.92,3,5.5
23737,2,35.0,2,5.0
23702,19,17.35,2,4.2
23695,11,24.28,2,4.8
23691,3,15.23,2,3.9
23688,8,24.75,2,4.3
23687,11,19.44,2,5.2
23683,23,17.01,2,4.5
23655,3,12.38,2,2.5
23654,7,17.0,2,5.4
23650,3,12.96,2,3.0
23619,10,21.87,2,5.0
23616,3,23.9,2,4.0
23891,3,19.44,3,6.0
23878,1,44.34,3,8.8
23859,2,19.44,2,4.4
23916,40,49.5,2,8.0
